frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-6.012020e+00
1;0.110000;-6.099300e+00
2;0.220000;-5.586427e+00
3;0.330000;-5.699163e+00
4;0.440000;-5.259655e+00
5;0.550000;-5.859793e+00
6;0.660000;-5.321376e+00
7;0.770000;-5.795802e+00
8;0.880000;-5.173249e+00
9;0.990000;-5.450197e+00
10;1.100000;-3.520679e+00
11;1.210000;-4.042135e+00
12;1.320000;-3.690851e+00
13;1.430000;-3.772425e+00
14;1.540000;-4.300272e+00
15;1.650000;-5.743740e+00
16;1.760000;-6.755570e+00
17;1.870000;-5.284627e+00
18;1.980000;-4.514790e+00
19;2.090000;-5.600971e+00
20;2.200000;-4.372833e+00
21;2.310000;-4.027998e+00
22;2.420000;-4.787876e+00
23;2.530000;-5.128988e+00
24;2.640000;-4.722085e+00
25;2.750000;-5.025438e+00
26;2.860000;-5.742048e+00
27;2.970000;-6.595379e+00
28;3.080000;-6.811381e+00
29;3.190000;-6.167711e+00
30;3.300000;-6.046100e+00
31;3.410000;-6.651281e+00
32;3.520000;-6.082620e+00
33;3.630000;-6.421365e+00
34;3.740000;-6.510560e+00
35;3.850000;-7.032040e+00
36;3.960000;-5.990736e+00
37;4.070000;-6.801377e+00
38;4.180000;-5.140576e+00
39;4.290000;-5.709164e+00
40;4.400000;-3.008789e+00
41;4.510000;-3.833107e+00
42;4.620000;-3.578825e+00
43;4.730000;-4.027349e+00
44;4.840000;-3.642144e+00
45;4.950000;-4.939644e+00
46;5.060000;-3.842000e+00
47;5.170000;-3.773455e+00
48;5.280000;-4.033572e+00
49;5.390000;-3.840873e+00
50;5.500000;-3.520676e+00
51;5.610000;-3.638248e+00
52;5.720000;-3.517311e+00
53;5.830000;-3.184422e+00
54;5.940000;-3.591129e+00
55;6.050000;-3.450540e+00
56;6.160000;-3.710743e+00
57;6.270000;-4.475958e+00
58;6.380000;-5.346814e+00
59;6.490000;-4.332635e+00
60;6.600000;-4.293636e+00
61;6.710000;-4.425066e+00
62;6.820000;-4.609553e+00
63;6.930000;-5.494245e+00
64;7.040000;-5.242783e+00
65;7.150000;-5.295813e+00
66;7.260000;-4.873178e+00
67;7.370000;-5.823088e+00
68;7.480000;-4.529109e+00
69;7.590000;-3.511997e+00
70;7.700000;-5.377324e+00
71;7.810000;-4.309819e+00
72;7.920000;-4.653807e+00
73;8.030000;-5.296109e+00
